"Row.names","P1-01-01-arc","P1-02-01-arc","P1-03-01-arc","P1-14-01-arc","P1-15-01-arc","P1-16-01-arc","P1-18-01-arc","P1-20-01-arc","P1-21-01-arc","P1-22-01-arc","P1-23-01-arc","P1-24-01-arc","P2-01-01-arc","P2-03-01-arc","P2-06-01-arc","P2-07-01-arc","P2-08-01-arc","P2-09-01-arc","P2-10-01-arc","P2-11-01-arc","P2-12-01-arc","P2-13-01-arc","P2-14-01-arc","P2-15-01-arc","P2-16-01-arc","P2-17-01-arc","P2-18-01-arc","P2-19-01-arc","P2-20-01-arc","P2-21-01-arc","P2-22-01-arc","P2-23-01-arc","P2-24-01-arc","P3-01-01-arc","P3-02-01-arc","P3-03-01-arc","P3-07-01-arc","P3-08-01-arc","P3-09-01-arc","P3-10-01-arc","P3-11-01-arc","P3-12-01-arc","P3-13-01-arc","P3-14-01-arc","P3-15-01-arc","P3-16-01-arc","P3-17-01-arc","P3-18-01-arc","P3-19-01-arc","P3-20-01-arc","P3-21-01-arc","P3-22-01-arc","P3-23-01-arc","P3-24-01-arc","P1-01-02-arc","P1-02-02-arc","P1-03-02-arc","P1-05-02-arc","P1-06-02-arc","P1-07-02-arc","P1-08-02-arc","P1-09-02-arc","P1-10-02-arc","P1-11-02-arc","P1-12-02-arc","P1-13-02-arc","P1-14-02-arc","P1-15-02-arc","P1-16-02-arc","P1-17-02-arc","P1-18-02-arc","P1-19-02-arc","P1-20-02-arc","P1-21-02-arc","P1-22-02-arc","P1-23-02-arc","P1-24-02-arc","P2-01-02-arc","P2-02-02-arc","P2-03-02-arc","P2-05-02-arc","P2-06-02-arc","P2-07-02-arc","P2-08-02-arc","P2-09-02-arc","P2-10-02-arc","P2-11-02-arc","P2-12-02-arc","P2-13-02-arc","P2-14-02-arc","P2-15-02-arc","P2-16-02-arc","P2-17-02-arc","P2-18-02-arc","P2-19-02-arc","P2-20-02-arc","P2-21-02-arc","P2-22-02-arc","P2-23-02-arc","P2-24-02-arc","P3-01-02-arc","P3-02-02-arc","P3-03-02-arc","P3-05-02-arc","P3-06-02-arc","P3-07-02-arc","P3-08-02-arc","P3-09-02-arc","P3-10-02-arc","P3-11-02-arc","P3-12-02-arc","P3-13-02-arc","P3-14-02-arc","P3-15-02-arc","P3-16-02-arc","P3-17-02-arc","P3-18-02-arc","P3-19-02-arc","P3-20-02-arc","P3-21-02-arc","P3-22-02-arc","P3-23-02-arc","P3-24-02-arc"
"ASV195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,2,0,0,0,0,2,0,0,6,3,0,11,1,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"ASV197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,7,6,2,19,19,11,3,5,8,7,3,13,5,5,0,11,14,6,8,6,3,4,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,4,8,4,15,15,3,6,15,1,5,13,2,5,0,6,3,0,3,3,8,6,8,13,16,0,4,8,10,11,8,0,21,12,2,4,0,7,0,4,10,2,1,5,3,0,9,6,1,0,12,5,13,7,4,19,6,7,4,4,8,5,1,10,2,1,2,0
"ASV200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,2,0,56,35,43,59,51,135,67,23,44,62,58,108,66,63,59,54,92,62,47,43,44,48,49,44,76,100,79,69,42,58,44,62,61,42,31,49,35,39,28,259,75,75,71,47,47,41,56,72,34,26,58,44,44,64,32,59,26,55,55,94,56,63,85,50,46,91,56,30,26
"ASV205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,3,3,0,0,0,0,0,0,0,3,0,3,2,11,4,3,0,8,0,9,4,4,0,0,0,3,0,0,0,2,5,0,0,0,16,2,0,0,7,1,10,4,0,0,0,0,1,2,3,0,0,0,0,0,0,0,3,4,0,0,1,0,2,0
"ASV210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,39,35,30,29,41,40,19,18,33,18,83,30,38,32,11,59,74,76,36,76,28,33,15,22,27,24,26,22,10,17,4,0,14,9,14,8,18,8,590,30,16,20,20,26,17,16,18,15,14,12,11,6,12,18,13,19,8,20,48,33,37,82,25,12,18,35,11,16
"ASV214",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,40,13,12,32,19,39,14,17,17,13,11,20,13,12,19,15,19,8,51,27,4,8,25,18,13,9,11,10,2,3,15,4,14,9,5,11,0,3176,317,200,39,63,27,28,180,88,63,39,29,40,28,35,23,24,80,15,30,35,29,32,62,26,14,26,28,7,8
"ASV215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,3,0,7,1,0,3,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0
"ASV219",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,3,0,3,0,0,6,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0
"ASV220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"ASV225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,3,2,0,2,0,0,4,0,0,0,0,0,0,3,6,2,6,0,0,0,0,0,0,0,0,0,2,1,5,0,0,5,0,0,0,0,4,1,0,2,0,0,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV226",0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,49,53,60,56,26,58,128,45,51,70,70,76,41,75,43,51,50,46,33,23,29,44,72,47,56,63,37,41,28,30,28,22,44,24,27,28,20,28,40,126,28,26,18,13,19,17,43,67,40,69,61,36,49,59,36,35,40,41,33,45,44,46,31,32,24,41,42,18,30
"ASV231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,0,0,0,7,0,3,4,4,5,4,2,3,0,1,0,0,0,4,5,3,0,4,6,8,5,0,0,0,6,6,2,0,1,0,0,2,1,8,5,1,0,0,3,0,0,0,0,0,0,1,0,3,0,4,0,0,5,0,0,2,0,0,0,3,0,0
"ASV232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV233",2,2,0,0,0,0,0,0,0,0,2,19,0,0,0,2,0,0,0,0,0,0,0,0,0,50,3,8,27,10,12,18,2,0,0,0,0,4,0,0,0,0,0,0,0,0,9,8,22,5,29,17,40,4,171,219,203,171,145,283,195,96,100,149,189,190,211,178,144,92,212,322,236,266,211,267,232,238,231,243,265,241,234,190,174,164,160,106,147,110,152,199,138,261,143,196,246,161,199,182,221,190,170,206,257,219,192,232,220,197,180,258,231,300,256,284,324,258,198,344,360,290,166
"ASV237",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,16,0,0,6,0,0,0,0,0,0,3,0,7,0,0,0,3,0,4
"ASV240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV243",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,12,8,14,0,33,0,15,15,7,21,3,7,7,0,6,0,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"ASV244",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,7,0,6,7,14,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,4,0,3,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV245",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,1,4,9,0,0,5,0,2,0,0,0,0,0,4,0,5,0,4,0,0,1,0,0,6,3,0,2,5,3,0,2,1,0,0,0,0,0,4,6,0,7,4,7,0,4,0,0,0,2,2,0,0
"ASV248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,4,0,12,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,4,1,10,14,16,3,2,7,0,0,8,1,1,4,1,0,0,1,3,0,0,0
"ASV249",4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,171,4,0,0,5,5,1,0,0,0,5,0,0,0,0,0,0,2,0,0,0,4,0,1,0,1,2,0,0,2,2,5,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,4,0,5,16,19,12,9,2,6,4,0,4,0,1,0,5,2,9,4,130,6,1,7,3,2,0,17,17,10,7,14,7,7,2,6,4,0,0,2,6,4,5,0,4,8,2,1,0,1
"ASV250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,0,8,0,0,0,0,0,0,4,0,0,6,10,0,0,0,2,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2,1,1,0,0,0,0,0,7,5,4,4,10,0,3,5,5,4,3
"ASV251",0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV254",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,3,0,0,0,2,4,0,3,2,0,0,5,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,4,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0
"ASV258",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,1,0,4,15,4,3,0,7,10,2,12,0,6,0,3,11,2,0,2,14,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV262",7,2,2,0,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,3,0,0,4,7,2,6,12,1,10,6,0,0,0,5,4,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,3,0,9,1,0,20,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,9,14,19,5,9,2,11,5,7,13,4,1,11,12,7,3,4,7,16,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0
"ASV270",9,0,6,20,24,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,1,4,4,4,0,8,5,3,4,1,3,2,0,0,3,3,4,0,0,0,0,6,0,0,4,0,0,0,4,0,0,0,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"ASV275",9,1,9,0,19,6,20,0,144,0,20,39,0,0,0,28,32,19,0,0,2,0,0,2,3,0,12,10,15,11,7,0,15,0,0,5,10,11,5,3,0,160,12,12,19,7,16,30,14,9,13,8,8,20,38,40,51,19,47,47,28,44,63,46,93,55,84,90,76,53,45,45,51,46,65,47,35,56,81,75,88,86,112,86,85,62,44,47,61,42,40,40,39,6,19,38,26,44,42,15,37,22,57,48,35,31,41,50,53,25,61,71,72,62,45,67,40,43,34,38,44,41,33
"ASV276",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV281",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"ASV282",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,31,3,12,0,6,0,5,0,4,6,0,2,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,5,3,0,0,0,3,0,0,0,0,5,0,0,0,0,1,0,0,4,0,0,0,5,0,2,0,0,6,7,10,0,0,4,6,10,11,29,11,16,11,20,14,3,21,7,6,12
"ASV283",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,10,7,3,26,12,21,9,4,10,12,9,14,2,13,3,10,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV286",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,2,0,4,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV289",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,7,6,0,0,8,0,1,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"ASV291",10,0,13,116,0,0,5,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,0,9,14,8,0,38,10,27,17,8,4,26,12,31,4,6,25,11,19,6,6,15,8,5,12,0,0,4,0,0,6,0,0,3,5,5,2,4,12,3,5,8,8,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ASV292",0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV297",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,3,0,0,5,0,6,3,3,3,14,15,9,8,7,17,0,1,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV298",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,38,30,12,20,36,32,21,32,33,19,26,46,29,22,8,33,24,17,11,20,27,26,13,21,36,17,15,16,19,18,7,25,11,7,4,9,7,7,2,6,3,15,3,7,2,10,6,5,12,5,7,8,10,0,9,13,16,10,14,7,11,15,8,1,16,4,11,9
"ASV301",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,1,0,0,0,0,0,0,7,0,4,4,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,1,0,8,0,2,4,5,4,3
"ASV304",0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,2,0,0,0,0,0,0,0,0,2,0,3,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
